applicant_id,month,due_date,paid_date,borrower_type
6,5,2024-05-02,2024-04-17,good
6,6,2024-06-02,2024-05-23,good
6,7,2024-07-02,2024-06-22,good
6,8,2024-08-02,2024-07-28,good
6,9,2024-09-02,2024-08-26,good
6,10,2024-10-02,2024-09-29,good
6,11,2024-11-02,2024-10-25,good
6,12,2024-12-02,2024-11-20,good
7,1,2024-01-02,2024-01-17,mixed
7,2,2024-02-02,2024-02-13,mixed
7,3,2024-03-02,2024-02-24,mixed
7,4,2024-04-02,2024-04-04,mixed
7,5,2024-05-02,2024-05-11,mixed
7,6,2024-06-02,2024-06-09,mixed
7,7,2024-07-02,2024-07-03,mixed
7,8,2024-08-02,2024-08-03,mixed
7,9,2024-09-02,2024-09-08,mixed
7,10,2024-10-02,2024-10-05,mixed
7,11,2024-11-02,2024-10-30,mixed
7,12,2024-12-02,2024-12-11,mixed
8,1,2024-01-02,2023-12-26,good
8,2,2024-02-02,2024-01-26,good
8,3,2024-03-02,2024-02-19,good
8,4,2024-04-02,2024-03-26,good
8,5,2024-05-02,2024-04-24,good
8,6,2024-06-02,2024-05-21,good
8,7,2024-07-02,2024-06-29,good
8,8,2024-08-02,2024-07-26,good
8,9,2024-09-02,2024-08-26,good
8,10,2024-10-02,2024-09-29,good
8,11,2024-11-02,2024-10-26,good
8,12,2024-12-02,2024-11-22,good
9,1,2024-01-02,2023-12-25,good
9,2,2024-02-02,2024-01-21,good
9,3,2024-03-02,2024-02-23,good
9,4,2024-04-02,2024-03-30,good
9,5,2024-05-02,2024-04-22,good
9,6,2024-06-02,2024-05-21,good
9,7,2024-07-02,2024-06-22,good
9,8,2024-08-02,2024-07-30,good
9,9,2024-09-02,2024-08-23,good
9,10,2024-10-02,2024-09-25,good
9,11,2024-11-02,2024-10-18,good
9,12,2024-12-02,2024-11-22,good
10,1,2024-01-02,2023-12-21,good
10,2,2024-02-02,2024-01-25,good
10,3,2024-03-02,2024-02-23,good
10,4,2024-04-02,2024-03-26,good
10,5,2024-05-02,2024-04-22,good
10,6,2024-06-02,2024-05-21,good
10,7,2024-07-02,2024-06-20,good
10,8,2024-08-02,2024-07-21,good
10,9,2024-09-02,2024-08-26,good
10,10,2024-10-02,2024-09-24,good
10,11,2024-11-02,2024-10-18,good
10,12,2024-12-02,2024-11-22,good
11,1,2024-01-02,2023-12-26,good
11,2,2024-02-02,2024-01-28,good
11,3,2024-03-02,2024-02-19,good
11,4,2024-04-02,2024-04-02,good
11,5,2024-05-02,2024-04-22,good
11,6,2024-06-02,2024-06-01,good
11,7,2024-07-02,2024-06-24,good
11,8,2024-08-02,2024-07-18,good
11,9,2024-09-02,2024-08-23,good
11,10,2024-10-02,2024-09-25,good
11,11,2024-11-02,2024-10-26,good
11,12,2024-12-02,2024-11-24,good
12,1,2024-01-02,2023-12-26,good
12,2,2024-02-02,2024-01-26,good
12,3,2024-03-02,2024-02-16,good
12,4,2024-04-02,2024-03-23,good
12,5,2024-05-02,2024-04-20,good
12,6,2024-06-02,2024-05-28,good
12,7,2024-07-02,2024-06-24,good
12,8,2024-08-02,2024-08-02,good
12,9,2024-09-02,2024-08-23,good
12,10,2024-10-02,2024-09-27,good
12,11,2024-11-02,2024-10-28,good
12,12,2024-12-02,2024-11-20,good
13,1,2024-01-02,2023-12-26,good
13,2,2024-02-02,2024-01-30,good
13,3,2024-03-02,2024-02-21,good
13,4,2024-04-02,2024-03-21,good
13,5,2024-05-02,2024-04-27,good
13,6,2024-06-02,2024-05-28,good
13,7,2024-07-02,2024-06-22,good
13,8,2024-08-02,2024-07-18,good
13,9,2024-09-02,2024-08-30,good
13,10,2024-10-02,2024-09-22,good
13,11,2024-11-02,2024-10-25,good
13,12,2024-12-02,2024-11-27,good
14,1,2024-01-02,2023-12-24,mixed
14,2,2024-02-02,2024-01-24,mixed
14,3,2024-03-02,2024-02-29,mixed
14,4,2024-04-02,2024-03-26,mixed
14,5,2024-05-02,2024-05-08,mixed
14,6,2024-06-02,2024-06-15,mixed
14,7,2024-07-02,2024-07-11,mixed
14,8,2024-08-02,2024-08-02,mixed
14,9,2024-09-02,2024-09-02,mixed
14,10,2024-10-02,2024-09-23,mixed
14,11,2024-11-02,2024-10-29,mixed
14,12,2024-12-02,2024-12-01,mixed
15,1,2024-01-02,2023-12-18,good
15,2,2024-02-02,2024-01-30,good
15,3,2024-03-02,2024-02-28,good
15,4,2024-04-02,2024-03-26,good
15,5,2024-05-02,2024-04-22,good
15,6,2024-06-02,2024-05-23,good
15,7,2024-07-02,2024-06-27,good
15,8,2024-08-02,2024-07-30,good
15,9,2024-09-02,2024-08-30,good
15,10,2024-10-02,2024-09-27,good
15,11,2024-11-02,2024-10-26,good
15,12,2024-12-02,2024-11-17,good
16,1,2024-01-02,2023-12-30,good
16,2,2024-02-02,2024-01-26,good
16,3,2024-03-02,2024-02-16,good
16,4,2024-04-02,2024-03-21,good
16,5,2024-05-02,2024-04-25,good
16,6,2024-06-02,2024-05-18,good
16,7,2024-07-02,2024-06-20,good
16,8,2024-08-02,2024-07-25,good
16,9,2024-09-02,2024-08-26,good
16,10,2024-10-02,2024-09-25,good
16,11,2024-11-02,2024-10-21,good
16,12,2024-12-02,2024-11-27,good
17,1,2024-01-02,2023-12-23,good
17,2,2024-02-02,2024-01-28,good
17,3,2024-03-02,2024-02-24,good
17,4,2024-04-02,2024-03-28,good
17,5,2024-05-02,2024-04-25,good
17,6,2024-06-02,2024-05-26,good
17,7,2024-07-02,2024-06-17,good
17,8,2024-08-02,2024-07-23,good
17,9,2024-09-02,2024-08-23,good
17,10,2024-10-02,2024-09-20,good
17,11,2024-11-02,2024-11-01,good
17,12,2024-12-02,2024-11-22,good
18,1,2024-01-02,2024-02-01,risky
18,2,2024-02-02,2024-03-03,risky
18,3,2024-03-02,2024-03-17,risky
18,4,2024-04-02,2024-05-02,risky
18,5,2024-05-02,2024-05-17,risky
18,6,2024-06-02,2024-06-07,risky
18,7,2024-07-02,2024-08-01,risky
18,8,2024-08-02,2024-08-17,risky
18,9,2024-09-02,2024-09-02,risky
18,10,2024-10-02,2024-11-01,risky
18,11,2024-11-02,2024-11-07,risky
18,12,2024-12-02,2025-01-16,risky
19,1,2024-01-02,2024-02-16,risky
19,2,2024-02-02,2024-02-17,risky
19,3,2024-03-02,2024-03-02,risky
19,4,2024-04-02,2024-05-17,risky
19,5,2024-05-02,2024-05-17,risky
19,6,2024-06-02,2024-08-01,risky
19,7,2024-07-02,2024-08-31,risky
19,8,2024-08-02,2024-09-16,risky
19,9,2024-09-02,2024-09-17,risky
19,10,2024-10-02,2024-10-17,risky
19,11,2024-11-02,2024-12-17,risky
19,12,2024-12-02,2024-12-17,risky
20,1,2024-01-02,2023-12-26,good
20,2,2024-02-02,2024-01-30,good
20,3,2024-03-02,2024-02-24,good
20,4,2024-04-02,2024-03-26,good
20,5,2024-05-02,2024-04-17,good
20,6,2024-06-02,2024-05-26,good
20,7,2024-07-02,2024-07-02,good
20,8,2024-08-02,2024-07-21,good
20,9,2024-09-02,2024-08-25,good
20,10,2024-10-02,2024-09-29,good
20,11,2024-11-02,2024-10-28,good
20,12,2024-12-02,2024-11-25,good
21,1,2024-01-02,2024-01-02,mixed
21,2,2024-02-02,2024-02-11,mixed
21,3,2024-03-02,2024-03-08,mixed
21,4,2024-04-02,2024-03-26,mixed
21,5,2024-05-02,2024-05-15,mixed
21,6,2024-06-02,2024-05-31,mixed
21,7,2024-07-02,2024-06-23,mixed
21,8,2024-08-02,2024-07-25,mixed
21,9,2024-09-02,2024-09-05,mixed
21,10,2024-10-02,2024-10-11,mixed
21,11,2024-11-02,2024-10-24,mixed
21,12,2024-12-02,2024-12-14,mixed
22,1,2024-01-02,2024-01-17,mixed
22,2,2024-02-02,2024-02-10,mixed
22,3,2024-03-02,2024-03-04,mixed
22,4,2024-04-02,2024-04-02,mixed
22,5,2024-05-02,2024-05-04,mixed
22,6,2024-06-02,2024-06-06,mixed
22,7,2024-07-02,2024-06-29,mixed
22,8,2024-08-02,2024-07-26,mixed
22,9,2024-09-02,2024-09-03,mixed
22,10,2024-10-02,2024-10-16,mixed
22,11,2024-11-02,2024-11-16,mixed
22,12,2024-12-02,2024-11-25,mixed
23,1,2024-01-02,2023-12-30,mixed
23,2,2024-02-02,2024-01-24,mixed
23,3,2024-03-02,2024-02-25,mixed
23,4,2024-04-02,2024-03-27,mixed
23,5,2024-05-02,2024-05-01,mixed
23,6,2024-06-02,2024-05-29,mixed
23,7,2024-07-02,2024-07-08,mixed
23,8,2024-08-02,2024-08-12,mixed
23,9,2024-09-02,2024-09-03,mixed
23,10,2024-10-02,2024-09-26,mixed
23,11,2024-11-02,2024-11-07,mixed
23,12,2024-12-02,2024-12-13,mixed
24,1,2024-01-02,2023-12-28,good
24,2,2024-02-02,2024-01-21,good
24,3,2024-03-02,2024-02-24,good
24,4,2024-04-02,2024-03-18,good
24,5,2024-05-02,2024-04-17,good
24,6,2024-06-02,2024-05-25,good
24,7,2024-07-02,2024-06-24,good
24,8,2024-08-02,2024-07-26,good
24,9,2024-09-02,2024-08-28,good
24,10,2024-10-02,2024-10-01,good
24,11,2024-11-02,2024-10-25,good
24,12,2024-12-02,2024-11-22,good
25,1,2024-01-02,2023-12-30,mixed
25,2,2024-02-02,2024-01-26,mixed
25,3,2024-03-02,2024-03-13,mixed
25,4,2024-04-02,2024-03-28,mixed
25,5,2024-05-02,2024-04-25,mixed
25,6,2024-06-02,2024-06-09,mixed
25,7,2024-07-02,2024-07-06,mixed
25,8,2024-08-02,2024-07-28,mixed
25,9,2024-09-02,2024-09-17,mixed
25,10,2024-10-02,2024-10-17,mixed
25,11,2024-11-02,2024-11-03,mixed
25,12,2024-12-02,2024-12-16,mixed
26,1,2024-01-02,2023-12-18,good
26,2,2024-02-02,2024-01-21,good
26,3,2024-03-02,2024-02-28,good
26,4,2024-04-02,2024-03-26,good
26,5,2024-05-02,2024-04-24,good
26,6,2024-06-02,2024-05-26,good
26,7,2024-07-02,2024-06-24,good
26,8,2024-08-02,2024-07-28,good
26,9,2024-09-02,2024-08-18,good
26,10,2024-10-02,2024-09-25,good
26,11,2024-11-02,2024-10-21,good
26,12,2024-12-02,2024-11-20,good
27,1,2024-01-02,2023-12-18,good
27,2,2024-02-02,2024-01-18,good
27,3,2024-03-02,2024-02-21,good
27,4,2024-04-02,2024-04-01,good
27,5,2024-05-02,2024-04-20,good
27,6,2024-06-02,2024-05-18,good
27,7,2024-07-02,2024-06-27,good
27,8,2024-08-02,2024-07-28,good
27,9,2024-09-02,2024-08-23,good
27,10,2024-10-02,2024-09-24,good
27,11,2024-11-02,2024-10-26,good
27,12,2024-12-02,2024-11-17,good
28,1,2024-01-02,2024-02-16,risky
28,2,2024-02-02,2024-02-17,risky
28,3,2024-03-02,2024-03-02,risky
28,4,2024-04-02,2024-05-17,risky
28,5,2024-05-02,2024-05-17,risky
28,6,2024-06-02,2024-06-17,risky
28,7,2024-07-02,2024-08-01,risky
28,8,2024-08-02,2024-09-01,risky
28,9,2024-09-02,2024-10-17,risky
28,10,2024-10-02,2024-11-16,risky
28,11,2024-11-02,2024-12-17,risky
28,12,2024-12-02,2025-01-01,risky
29,1,2024-01-02,2024-01-06,mixed
29,2,2024-02-02,2024-01-31,mixed
29,3,2024-03-02,2024-03-15,mixed
29,4,2024-04-02,2024-04-17,mixed
29,5,2024-05-02,2024-05-17,mixed
29,6,2024-06-02,2024-05-30,mixed
29,7,2024-07-02,2024-07-07,mixed
29,8,2024-08-02,2024-08-13,mixed
29,9,2024-09-02,2024-09-06,mixed
29,10,2024-10-02,2024-10-15,mixed
29,11,2024-11-02,2024-11-17,mixed
29,12,2024-12-02,2024-12-17,mixed
30,1,2024-01-02,2024-01-07,mixed
30,2,2024-02-02,2024-02-06,mixed
30,3,2024-03-02,2024-03-05,mixed
30,4,2024-04-02,2024-04-06,mixed
30,5,2024-05-02,2024-05-04,mixed
30,6,2024-06-02,2024-06-16,mixed
30,7,2024-07-02,2024-06-29,mixed
30,8,2024-08-02,2024-07-31,mixed
30,9,2024-09-02,2024-09-15,mixed
30,10,2024-10-02,2024-09-25,mixed
30,11,2024-11-02,2024-11-01,mixed
30,12,2024-12-02,2024-12-10,mixed
31,1,2024-01-02,2023-12-26,good
31,2,2024-02-02,2024-01-23,good
31,3,2024-03-02,2024-02-21,good
31,4,2024-04-02,2024-03-25,good
31,5,2024-05-02,2024-04-25,good
31,6,2024-06-02,2024-05-23,good
31,7,2024-07-02,2024-06-29,good
31,8,2024-08-02,2024-07-18,good
31,9,2024-09-02,2024-08-25,good
31,10,2024-10-02,2024-10-01,good
31,11,2024-11-02,2024-10-25,good
31,12,2024-12-02,2024-11-24,good
32,1,2024-01-02,2023-12-26,good
32,2,2024-02-02,2024-01-28,good
32,3,2024-03-02,2024-02-19,good
32,4,2024-04-02,2024-03-23,good
32,5,2024-05-02,2024-04-25,good
32,6,2024-06-02,2024-05-30,good
32,7,2024-07-02,2024-06-25,good
32,8,2024-08-02,2024-07-21,good
32,9,2024-09-02,2024-08-26,good
32,10,2024-10-02,2024-09-27,good
32,11,2024-11-02,2024-10-21,good
32,12,2024-12-02,2024-11-22,good
33,1,2024-01-02,2023-12-25,good
33,2,2024-02-02,2024-01-23,good
33,3,2024-03-02,2024-02-21,good
33,4,2024-04-02,2024-03-18,good
33,5,2024-05-02,2024-04-17,good
33,6,2024-06-02,2024-06-01,good
33,7,2024-07-02,2024-06-27,good
33,8,2024-08-02,2024-07-23,good
33,9,2024-09-02,2024-09-01,good
33,10,2024-10-02,2024-09-25,good
33,11,2024-11-02,2024-10-25,good
33,12,2024-12-02,2024-11-24,good
34,1,2024-01-02,2023-12-18,good
34,2,2024-02-02,2024-01-26,good
34,3,2024-03-02,2024-02-24,good
34,4,2024-04-02,2024-03-21,good
34,5,2024-05-02,2024-04-29,good
34,6,2024-06-02,2024-05-28,good
34,7,2024-07-02,2024-06-20,good
34,8,2024-08-02,2024-07-30,good
34,9,2024-09-02,2024-09-01,good
34,10,2024-10-02,2024-10-02,good
34,11,2024-11-02,2024-10-18,good
34,12,2024-12-02,2024-11-27,good
35,1,2024-01-02,2023-12-28,good
35,2,2024-02-02,2024-02-01,good
35,3,2024-03-02,2024-02-24,good
35,4,2024-04-02,2024-03-28,good
35,5,2024-05-02,2024-04-29,good
35,6,2024-06-02,2024-05-28,good
35,7,2024-07-02,2024-06-24,good
35,8,2024-08-02,2024-07-21,good
35,9,2024-09-02,2024-08-23,good
35,10,2024-10-02,2024-09-29,good
35,11,2024-11-02,2024-10-21,good
35,12,2024-12-02,2024-11-24,good
36,1,2024-01-02,2023-12-26,good
36,2,2024-02-02,2024-01-30,good
36,3,2024-03-02,2024-02-28,good
36,4,2024-04-02,2024-03-21,good
36,5,2024-05-02,2024-04-29,good
36,6,2024-06-02,2024-05-26,good
36,7,2024-07-02,2024-06-22,good
36,8,2024-08-02,2024-07-28,good
36,9,2024-09-02,2024-08-25,good
36,10,2024-10-02,2024-09-22,good
36,11,2024-11-02,2024-10-28,good
36,12,2024-12-02,2024-11-20,good
37,1,2024-01-02,2023-12-25,good
37,2,2024-02-02,2024-01-23,good
37,3,2024-03-02,2024-02-23,good
37,4,2024-04-02,2024-03-26,good
37,5,2024-05-02,2024-04-27,good
37,6,2024-06-02,2024-05-28,good
37,7,2024-07-02,2024-06-27,good
37,8,2024-08-02,2024-07-28,good
37,9,2024-09-02,2024-08-26,good
37,10,2024-10-02,2024-09-20,good
37,11,2024-11-02,2024-10-25,good
37,12,2024-12-02,2024-11-24,good
38,1,2024-01-02,2023-12-25,good
38,2,2024-02-02,2024-01-25,good
38,3,2024-03-02,2024-02-26,good
38,4,2024-04-02,2024-04-01,good
38,5,2024-05-02,2024-04-25,good
38,6,2024-06-02,2024-05-23,good
38,7,2024-07-02,2024-06-17,good
38,8,2024-08-02,2024-07-30,good
38,9,2024-09-02,2024-08-30,good
38,10,2024-10-02,2024-09-22,good
38,11,2024-11-02,2024-10-26,good
38,12,2024-12-02,2024-11-17,good
39,1,2024-01-02,2023-12-21,good
39,2,2024-02-02,2024-01-23,good
39,3,2024-03-02,2024-03-02,good
39,4,2024-04-02,2024-03-26,good
39,5,2024-05-02,2024-04-22,good
39,6,2024-06-02,2024-05-28,good
39,7,2024-07-02,2024-06-29,good
39,8,2024-08-02,2024-08-01,good
39,9,2024-09-02,2024-08-18,good
39,10,2024-10-02,2024-09-22,good
39,11,2024-11-02,2024-10-21,good
39,12,2024-12-02,2024-11-22,good
40,1,2024-01-02,2023-12-26,good
40,2,2024-02-02,2024-01-23,good
40,3,2024-03-02,2024-02-19,good
40,4,2024-04-02,2024-03-23,good
40,5,2024-05-02,2024-04-22,good
40,6,2024-06-02,2024-05-23,good
40,7,2024-07-02,2024-06-24,good
40,8,2024-08-02,2024-07-18,good
40,9,2024-09-02,2024-08-23,good
40,10,2024-10-02,2024-09-24,good
40,11,2024-11-02,2024-10-26,good
40,12,2024-12-02,2024-11-22,good
41,1,2024-01-02,2023-12-18,good
41,2,2024-02-02,2024-01-30,good
41,3,2024-03-02,2024-02-23,good
41,4,2024-04-02,2024-03-26,good
41,5,2024-05-02,2024-04-29,good
41,6,2024-06-02,2024-05-18,good
41,7,2024-07-02,2024-06-29,good
41,8,2024-08-02,2024-07-26,good
41,9,2024-09-02,2024-08-21,good
41,10,2024-10-02,2024-09-24,good
41,11,2024-11-02,2024-10-28,good
41,12,2024-12-02,2024-11-24,good
42,1,2024-01-02,2024-01-17,risky
42,2,2024-02-02,2024-03-03,risky
42,3,2024-03-02,2024-03-17,risky
42,4,2024-04-02,2024-05-17,risky
42,5,2024-05-02,2024-06-01,risky
42,6,2024-06-02,2024-06-07,risky
42,7,2024-07-02,2024-07-02,risky
42,8,2024-08-02,2024-08-07,risky
42,9,2024-09-02,2024-09-02,risky
42,10,2024-10-02,2024-10-07,risky
42,11,2024-11-02,2024-12-02,risky
42,12,2024-12-02,2024-12-17,risky
43,1,2024-01-02,2024-01-15,mixed
43,2,2024-02-02,2024-01-28,mixed
43,3,2024-03-02,2024-02-24,mixed
43,4,2024-04-02,2024-04-13,mixed
43,5,2024-05-02,2024-04-27,mixed
43,6,2024-06-02,2024-06-13,mixed
43,7,2024-07-02,2024-07-08,mixed
43,8,2024-08-02,2024-08-08,mixed
43,9,2024-09-02,2024-08-30,mixed
43,10,2024-10-02,2024-10-01,mixed
43,11,2024-11-02,2024-10-28,mixed
43,12,2024-12-02,2024-12-04,mixed
44,1,2024-01-02,2023-12-23,good
44,2,2024-02-02,2024-01-23,good
44,3,2024-03-02,2024-02-19,good
44,4,2024-04-02,2024-03-30,good
44,5,2024-05-02,2024-04-27,good
44,6,2024-06-02,2024-05-18,good
44,7,2024-07-02,2024-06-22,good
44,8,2024-08-02,2024-07-18,good
44,9,2024-09-02,2024-08-25,good
44,10,2024-10-02,2024-09-24,good
44,11,2024-11-02,2024-10-28,good
44,12,2024-12-02,2024-11-22,good
45,1,2024-01-02,2024-01-06,mixed
45,2,2024-02-02,2024-02-13,mixed
45,3,2024-03-02,2024-02-22,mixed
45,4,2024-04-02,2024-04-01,mixed
45,5,2024-05-02,2024-05-02,mixed
45,6,2024-06-02,2024-06-03,mixed
45,7,2024-07-02,2024-06-25,mixed
45,8,2024-08-02,2024-08-03,mixed
45,9,2024-09-02,2024-09-13,mixed
45,10,2024-10-02,2024-09-27,mixed
45,11,2024-11-02,2024-11-04,mixed
45,12,2024-12-02,2024-12-16,mixed
46,1,2024-01-02,2024-01-11,mixed
46,2,2024-02-02,2024-02-12,mixed
46,3,2024-03-02,2024-03-16,mixed
46,4,2024-04-02,2024-04-12,mixed
46,5,2024-05-02,2024-04-30,mixed
46,6,2024-06-02,2024-06-16,mixed
46,7,2024-07-02,2024-06-30,mixed
46,8,2024-08-02,2024-08-03,mixed
46,9,2024-09-02,2024-08-30,mixed
46,10,2024-10-02,2024-10-16,mixed
46,11,2024-11-02,2024-10-29,mixed
46,12,2024-12-02,2024-11-23,mixed
47,1,2024-01-02,2023-12-28,good
47,2,2024-02-02,2024-01-23,good
47,3,2024-03-02,2024-02-24,good
47,4,2024-04-02,2024-03-30,good
47,5,2024-05-02,2024-04-29,good
47,6,2024-06-02,2024-05-21,good
47,7,2024-07-02,2024-06-29,good
47,8,2024-08-02,2024-07-25,good
47,9,2024-09-02,2024-08-23,good
47,10,2024-10-02,2024-09-24,good
47,11,2024-11-02,2024-11-02,good
47,12,2024-12-02,2024-11-24,good
48,1,2024-01-02,2023-12-26,good
48,2,2024-02-02,2024-01-21,good
48,3,2024-03-02,2024-02-16,good
48,4,2024-04-02,2024-03-21,good
48,5,2024-05-02,2024-04-20,good
48,6,2024-06-02,2024-05-21,good
48,7,2024-07-02,2024-06-20,good
48,8,2024-08-02,2024-07-26,good
48,9,2024-09-02,2024-08-21,good
48,10,2024-10-02,2024-09-22,good
48,11,2024-11-02,2024-10-30,good
48,12,2024-12-02,2024-11-24,good
49,1,2024-01-02,2023-12-31,mixed
49,2,2024-02-02,2024-01-30,mixed
49,3,2024-03-02,2024-02-28,mixed
49,4,2024-04-02,2024-03-28,mixed
49,5,2024-05-02,2024-05-13,mixed
49,6,2024-06-02,2024-05-31,mixed
49,7,2024-07-02,2024-07-08,mixed
49,8,2024-08-02,2024-07-27,mixed
49,9,2024-09-02,2024-08-28,mixed
49,10,2024-10-02,2024-10-12,mixed
49,11,2024-11-02,2024-11-17,mixed
49,12,2024-12-02,2024-12-13,mixed
50,1,2024-01-02,2023-12-21,good
50,2,2024-02-02,2024-01-23,good
50,3,2024-03-02,2024-02-23,good
50,4,2024-04-02,2024-03-26,good
50,5,2024-05-02,2024-04-17,good
50,6,2024-06-02,2024-05-28,good
50,7,2024-07-02,2024-06-25,good
50,8,2024-08-02,2024-07-18,good
50,9,2024-09-02,2024-08-30,good
50,10,2024-10-02,2024-09-29,good
50,11,2024-11-02,2024-10-18,good
50,12,2024-12-02,2024-11-22,good
51,1,2024-01-02,2024-01-01,mixed
51,2,2024-02-02,2024-02-15,mixed
51,3,2024-03-02,2024-02-27,mixed
51,4,2024-04-02,2024-04-03,mixed
51,5,2024-05-02,2024-05-03,mixed
51,6,2024-06-02,2024-05-25,mixed
51,7,2024-07-02,2024-06-26,mixed
51,8,2024-08-02,2024-08-04,mixed
51,9,2024-09-02,2024-08-26,mixed
51,10,2024-10-02,2024-10-04,mixed
51,11,2024-11-02,2024-10-25,mixed
51,12,2024-12-02,2024-12-16,mixed
52,1,2024-01-02,2024-01-04,mixed
52,2,2024-02-02,2024-01-25,mixed
52,3,2024-03-02,2024-02-28,mixed
52,4,2024-04-02,2024-04-11,mixed
52,5,2024-05-02,2024-05-15,mixed
52,6,2024-06-02,2024-06-03,mixed
52,7,2024-07-02,2024-06-25,mixed
52,8,2024-08-02,2024-08-04,mixed
52,9,2024-09-02,2024-09-07,mixed
52,10,2024-10-02,2024-10-03,mixed
52,11,2024-11-02,2024-11-05,mixed
52,12,2024-12-02,2024-11-30,mixed
53,1,2024-01-02,2023-12-25,good
53,2,2024-02-02,2024-01-21,good
53,3,2024-03-02,2024-02-21,good
53,4,2024-04-02,2024-03-23,good
53,5,2024-05-02,2024-04-17,good
53,6,2024-06-02,2024-05-23,good
53,7,2024-07-02,2024-06-20,good
53,8,2024-08-02,2024-07-23,good
53,9,2024-09-02,2024-08-21,good
53,10,2024-10-02,2024-09-29,good
53,11,2024-11-02,2024-10-26,good
53,12,2024-12-02,2024-11-25,good
54,1,2024-01-02,2024-01-05,mixed
54,2,2024-02-02,2024-01-31,mixed
54,3,2024-03-02,2024-03-03,mixed
54,4,2024-04-02,2024-04-14,mixed
54,5,2024-05-02,2024-05-03,mixed
54,6,2024-06-02,2024-05-27,mixed
54,7,2024-07-02,2024-07-16,mixed
54,8,2024-08-02,2024-08-03,mixed
54,9,2024-09-02,2024-09-10,mixed
54,10,2024-10-02,2024-10-10,mixed
54,11,2024-11-02,2024-11-01,mixed
54,12,2024-12-02,2024-12-06,mixed
55,1,2024-01-02,2023-12-23,good
55,2,2024-02-02,2024-01-23,good
55,3,2024-03-02,2024-02-24,good
55,4,2024-04-02,2024-03-26,good
55,5,2024-05-02,2024-04-22,good
55,6,2024-06-02,2024-06-02,good
55,7,2024-07-02,2024-06-25,good
55,8,2024-08-02,2024-07-21,good
55,9,2024-09-02,2024-08-21,good
55,10,2024-10-02,2024-09-20,good
55,11,2024-11-02,2024-10-21,good
55,12,2024-12-02,2024-11-20,good
56,1,2024-01-02,2023-12-23,good
56,2,2024-02-02,2024-01-21,good
56,3,2024-03-02,2024-02-28,good
56,4,2024-04-02,2024-03-18,good
